DATE,STLFSI
2019-06-07,-1.178
2019-06-14,-1.207
2019-06-21,-1.236
2019-06-28,-1.257
2019-07-05,-1.368
2019-07-12,-1.350
2019-07-19,-1.325
2019-07-26,-1.358
2019-08-02,-1.348
2019-08-09,-1.228
2019-08-16,-1.175
2019-08-23,-1.240
2019-08-30,-1.263
2019-09-06,-1.300
2019-09-13,-1.309
2019-09-20,-1.281
2019-09-27,-1.269
2019-10-04,-1.165
2019-10-11,-1.183
2019-10-18,-1.213
2019-10-25,-1.284
2019-11-01,-1.323
2019-11-08,-1.301
2019-11-15,-1.319
